100 3008
   1,  1,  2, 1890
   2,  1,  4, 1193
   3,  1,  5, 2864
   4,  1,  7, 1814
   5,  1,  9, 1599
   6,  1, 11, 1069
   7,  1, 13, 2564
   8,  1, 14, 2566
   9,  1, 16, 1413
  10,  1, 17, 1363
  11,  1, 18, 1451
  12,  1, 19, 1009
  13,  1, 20, 1614
  14,  1, 22, 1644
  15,  1, 24, 1482
  16,  1, 25, 1393
  17,  1, 26, 1819
  18,  1, 27, 1621
  19,  1, 28,  740
  20,  1, 29, 2381
  21,  1, 30, 2226
  22,  1, 31, 1075
  23,  1, 33, 2923
  24,  1, 34, 1934
  25,  1, 35, 1813
  26,  1, 37, 2700
  27,  1, 38, 1233
  28,  1, 39, 2110
  29,  1, 44, 1946
  30,  1, 45, 1308
  31,  1, 47,  621
  32,  1, 48, 2587
  33,  1, 49,  690
  34,  1, 50, 1819
  35,  1, 51, 1168
  36,  1, 52, 2499
  37,  1, 53, 1205
  38,  1, 55, 2020
  39,  1, 59, 1283
  40,  1, 60, 1218
  41,  1, 62, 1414
  42,  1, 66, 1404
  43,  1, 67,  655
  44,  1, 68, 1728
  45,  1, 69, 1341
  46,  1, 71, 2981
  47,  1, 72, 1201
  48,  1, 73, 1610
  49,  1, 76, 2843
  50,  1, 77, 1282
  51,  1, 78, 2493
  52,  1, 81, 1505
  53,  1, 83, 2013
  54,  1, 84,  969
  55,  1, 85, 1946
  56,  1, 86, 1650
  57,  1, 88, 1578
  58,  1, 89,  899
  59,  1, 90,  773
  60,  1, 92,  353
  61,  1, 96, 2671
  62,  1, 97, 1140
  63,  2,  3, 1855
  64,  2,  4, 2502
  65,  2,  6, 2359
  66,  2,  7, 1407
  67,  2,  9, 1450
  68,  2, 10, 2712
  69,  2, 11, 2615
  70,  2, 13, 1278
  71,  2, 14, 1990
  72,  2, 15, 2839
  73,  2, 18, 3116
  74,  2, 23, 2251
  75,  2, 24, 3144
  76,  2, 25, 1015
  77,  2, 27, 1973
  78,  2, 29, 1842
  79,  2, 31, 1748
  80,  2, 32, 2265
  81,  2, 33, 1456
  82,  2, 35, 2173
  83,  2, 40,  510
  84,  2, 41, 2121
  85,  2, 43, 2152
  86,  2, 45, 2297
  87,  2, 46, 1933
  88,  2, 47, 2154
  89,  2, 48, 1845
  90,  2, 52, 1416
  91,  2, 53, 2876
  92,  2, 59, 2659
  93,  2, 61, 1028
  94,  2, 63, 2110
  95,  2, 66, 3008
  96,  2, 69,  666
  97,  2, 70, 3117
  98,  2, 71, 2041
  99,  2, 73,  618
 100,  2, 75, 2354
 101,  2, 76, 1385
 102,  2, 77, 2002
 103,  2, 78, 1425
 104,  2, 82,  687
 105,  2, 83, 1605
 106,  2, 87, 1328
 107,  2, 88, 2814
 108,  2, 89, 1685
 109,  2, 90, 2618
 110,  2, 92, 1963
 111,  2, 93, 1404
 112,  2, 94, 3238
 113,  2, 96, 1580
 114,  2, 97, 2284
 115,  2,100, 2003
 116,  3,  4, 3557
 117,  3,  5, 1308
 118,  3,  6, 2808
 119,  3,  8, 2834
 120,  3,  9, 1018
 121,  3, 10, 2935
 122,  3, 11, 2612
 123,  3, 12,  793
 124,  3, 15, 2672
 125,  3, 16, 3546
 126,  3, 17, 2342
